Product,Capacity,Length,Width,Thickness,Voltage
LP081831,8,31,18,0.8,3.7
LP151020,12,20,10,1.5,3.7
LP151025,12,25,10,1.5,3.7
LP101414,15,14,14,1,3.7
LP042255,21,55,22,0.4,3.7
LP072736,25,36,27,0.7,3.7
LP191320,25,20,13,1.9,3.7
LP161823,33,23,18,1.6,3.7
LP142817,35,17,28,1.4,3.7
LP191622,35,22,16,1.9,3.7
LP161825,37,25,18,1.6,3.7
LP103035,50,35,30,1,3.7
LP152517,50,17,25,1.5,3.7
LP094034,58,34,40,0.9,3.7
LP182142,80,42,21,1.8,3.7
LP103053,90,53,30,1,3.7
LP152638,95,38,26,1.5,3.7
LP153040,110,40,30,1.5,3.7
LP193555,210,55,35,1.9,3.7
LP185388,790,88,53,1.8,3.7
LP158098,1400,98,80,1.5,3.7
LP201115,10,15,11,2,3.7
LP201015,20,15,10,2,3.7
LP201214,30,14,12,2,3.7
LP201520,30,20,15,2,3.7
LP201030,40,30,10,2,3.7
LP201235,40,35,12,2,3.7
LP202018,42,18,20,2,3.7
LP202817,45,17,28,2,3.7
LP203034,50,34,30,2,3.7
LP202020,60,20,20,2,3.7
LP202221,70,21,22,2,3.7
LP202222,70,22,22,2,3.7
LP202430,85,30,24,2,3.7
LP202731,140,31,27,2,3.7
LP202830,160,30,28,2,3.7
LP203030,160,30,30,2,3.7
LP204355,400,55,43,2,3.7
LP204365,450,65,43,2,3.7
LP205888,1200,88,58,2,3.7
LP2066125,1900,125,66,2,3.7
LP211528,65,28,15,2.1,3.7
LP211627,65,27,16,2.1,3.7
LP2129116,680,116,29,2.1,3.7
LP221220,25,20,12,2.2,3.7
LP221021,30,21,10,2.2,3.7
LP221320,30,20,13,2.2,3.7
LP221619,30,19,16,2.2,3.7
LP221620,30,20,16,2.2,3.7
LP221525,40,25,15,2.2,3.7
LP221828,62,28,18,2.2,3.7
LP222025,70,25,20,2.2,3.7
LP221838,100,38,18,2.2,3.7
